RUC;NOMBRE;UBICACION;TELEFONO
-;D'LUJO - CHIMBOTE;CHIMBOTE;-
-;DOME 1061;CUADRA 10;-
-;DSAMIR 867;CUADRA 8;-
-;DYD 113;STA. MERCEDEZ;-
-;DYL ACABADOS RAIZA;-;-
-;ECOTILES;-;-
-;EDAMS 907;GALERIA 907;-
-;EDER 907;GALERIA 907;-
-;EDINSON - LAMBAYEQUE;LAMBAYEQUE;-
-;EDISON 1019;GALERIA 1019;-
-;EDISON ING;-;-
-;EDITH 995 ZOTANO;GALERIA 955 ZOTANO;-
-;EDMUNDO - V.E.S;VILLA EL SALVADOR;-
-;EDUARDO FLORES;-;-
-;EDWIN - TUMBES;TUMBES;-
-;EDWIN 1069;GALERIA 1069;-
-;EDWIN 907;GALERIA 907;-
-;EDWIN CARABAYLLO;CARABAYLLO;-
-;EJECUTIVOS 910 - EJESA;STA. CLORINDA;-
-;EJESA 961;CUADRA 9;-
-;ELAINE;-;-
-;ELIZABETH 1069;GALERIA 1069;-
-;ELMER ZOCALOS;-;-
-;ELVIS 877;CUADRA 8;-
-;EMIDSA 985;CUADRA 9;-
-;ERMITAÑO;-;-
-;ESCALA 819;CUADRA 8;-
-;EUGENIO - PTE. PIEDRA;PTE. PIEDRA;-
-;EVELYN - TRUJILLO;TRUJILLO;-
-;EVERLY 907;GALERIA 907;-
-;EZPINOZA;-;-
-;FABRIS 911;CUADRA 9;-
-;FAREISA - DORIS;CONSTRUCENTER;-
-;FAREISA - DORIS 1019;GALERIA 1019;-
-;FATIMA FLORES;-;-
-;FELIPE SANDRO;-;-
-;FERNANDEZ - HUAYCAN;HUAYCAN;-
-;FERRECERAMIC - TRUJILLO;TRUJILLO;-
-;FIDEL 743;CUADRA 7;-
-;FIMAPRO - CHIMBOTE;CHIMBOTE;-
-;FRANK 995 ZOTANO;GALERIA 955 ZOTANO;-
-;FREDY 879;-;-
-;FREDY CHAUCA;-;-
-;GABRIEL - HUAYCAN;HUAYCAN;-
-;GABRIELA 931;GALERIA 931;-
-;GAELA - CARAZ;CARAZ;-
-;GAELA - HUARAZ;HUARAZ;-
-;GALA;STA. CAROLINA;-
-;GALEPSA;-;-
-;GALERIA 1019;GALERIA 1019;-
-;GALERIA 1069;GALERIA 1069;-
-;GALERIA 907 INT. 108;GALERIA 907;-
-;GALERIA 931;GALERIA 931;-
-;GALLARDO - SURQUILLO;SURQUILLO;-
-;GAVINO 938B;FRENTE;-
-;GEFARTH;-;-
-;GEM - CHIMBOTE;CHIMBOTE;-
-;GEMELA 995 ZOTANO;GALERIA 955 ZOTANO;-
-;GIOVANNA MARZANO;-;-
-;GIOVANNY - CAÑETE;CAÑETE;-
-;GIOVANNY AGUIRRE;-;-
-;GLADYS;CONSTRUCENTER;-
-;GLADYS SANCHEZ 104;STA. INES;-
-;GLOBAL CERAMIC - HUARAZ;HUARAZ;-
-;GUADALUPANA;-;-
-;GUSTAVO SLIM CENTER;-;-
-;GYH 905;CUADRA 9;-
-;HALCOR;-;-
-;HAROLD - ATE;ATE;-
-;HARVEY JORGE HUAMAN;-;-
-;HERBERT;CONSTRUCENTER;-
-;HERMITAÑO;-;-
-;HEYDI 813;CUADRA 8;-
-;HILDA - SURQUILLO;SURQUILLO;-
-;HIPER - BARRANCA;BARRANCA;-
-;HOME DECOR;-;-
-;HOUSE CERAMIC;-;-
-;HUANCAYO 1115;CUADRA 11;-
-;HUANCAYO 1117;CUADRA 11;-
-;HUGO;CONSTRUCENTER;-
-;HUGO 924;FRENTE;-
-;HUGO PASAJE;CUADRA 10;-
-;IMPACTO 993;CUADRA 9;-
-;IMPESA 939B;CUADRA 9;-
-;IMPORT LUMEL;-;-
-;ING. OLFER;-;-
-;INGRID - CHANCAY;CHANCAY;-
-;INT. N 995 ZOTANO;GALERIA 955 ZOTANO;-
-;INTERCERAMIC 1019;GALERIA 1019;-
-;INV. BRAVO;-;-
-;INV. IAN;-;-
-;INV. LOG JEHOVA;-;-
-;INV. SANDOVAL - LAMBAYEQUE ;LAMBAYEQUE;-
-;ITURRI - CHIMBOTE;CHIMBOTE;-
-;IVANA 881;-;-
-;JANET 1085;CUADRA 10;-
-;JAVIER - HUARAL;HUARAL;-
-;JAZMIN;-;-
-;JENNIFER 989;CUADRA 9;-
-;JENNY - CHIMBOTE;CHIMBOTE;-
-;JERSON CASHPA;-;-
-;JESSICA BRIONES;-;-
-;JESUS;CONSTRUCENTER;-
-;JESUS MARGARITO - CARAZ;CARAZ;-
-;JESUS MARGARITO - HUARAZ;HUARAZ;-
-;JESUS MENDOZA - CARAZ;CARAZ;-
-;JESUS MENDOZA - HUARAZ;HUARAZ;-
-;JHON - S.J.L;SAN JUAN DE LURIGANCHO;-
-;JHON MARZANO;-;-
-;JIMMY HERRERA;-;-
-;JM - SURQUILLO;SURQUILLO;-
-;JMA;-;-
-;JOAN 843;CUADRA 8;-
-;JOAN 877;CUADRA 8;-
-;JOEL - HUARAZ;HUARAZ;-
-;JOHANY - CHICLAYO;CHICLAYO;-
-;JORGE - CAJAMARCA;CAJAMARCA;-
-;JORGE LEIVA;-;-
-;JOSE;-;-
-;JOSE PAZ - CHICLAYO;CHICLAYO;-
-;JOSHELO;CONSTRUCENTER;-
-;JS CORPORACION;-;-
-;JUAN MONCADA;-;-
-;JUAN ORTEGA 1019;GALERIA 1019;-
-;JUAN PABLO;-;-
-;JUDITH;CONSTRUCENTER;-
-;JULCA;-;-
-;JULIANA;-;-
-;JULIETA 1069;GALERIA 1069;-
-;JULIO - COMAS;COMAS;-
-;JULISA;-;-
-;JULITO;-;-
-;JUNIOR;CONSTRUCENTER;-
-;JYB;-;-
-;JYS PASAJE;CUADRA 11;-
-;KALLPA 895;CUADRA 8;-
-;KAREN 919;CUADRA 9;-
-;KASA LINDA 952;FRENTE;-
-;KASANDRA;-;-
-;KATHERINE - S.J.L;SAN JUAN DE LURIGANCHO;-
-;KATHERINE 907;GALERIA 907;-
-;KATY - HUARAZ;HUARAZ;-
-;KELVI - SURQUILLO;SURQUILLO;-
-;KERAPOLIS;-;-
-;KEVELYN 931;GALERIA 931;-
-;KIARA;CONSTRUCENTER;-
-;KIMBERLY;CONSTRUCENTER;-
-;KRONOS CARAZ;CARAZ;-
-;KRONOS HUARAZ;HUARAZ;-
-;KYJ 887;CUADRA 8;-
-;L&G COMPANY;-;-
-;LALY;-;-
-;LARRY;-;-
-;LENIN;-;-
-;LEYSIKA;-;-
-;LIDIA - CHIMBOTE;CHIMBOTE;-
-;LILI 995 ZOTANO;GALERIA 955 ZOTANO;-
-;LINA - SURQUILLO;SURQUILLO;-
-;LINA ORTIZ;-;-
-;LINDER;-;-
-;LIZETH - CHAMCHAMAYO;CHAMCHAMAYO;-
-;LUCY;CONSTRUCENTER;-
-;LUHARS - CARAZ;CARAZ;-
-;LUIS COMPANY - CAJAMARCA;CAJAMARCA;-
-;LUPERSA;-;-
-;LUPUCHE;-;-
-;LUSBY;-;-
-;MACKENZY;-;-
-;MAGALY - S.J.L;SAN JUAN DE LURIGANCHO;-
-;MALL HOME;-;-
-;MANOLO 907;GALERIA 907;-
-;MANUEL - CHIMBOTE;CHIMBOTE;-
-;MARCELINO - CHICLAYO;CHICLAYO;-
-;MARCO ANTONIO - CHIMBOTE;CHIMBOTE;-
-;MARIA BAUTISTA - TRUJILLO;TRUJILLO;-
-;MARIA GALLARDO;-;-
-;MARIA NAVAS;-;-
-;MARIANA;-;-
-;MARIANGEL 957 - 2DO PISO;CUADRA 9;-
-;MARICIELO;CONSTRUCENTER;-
-;MARICIELO 995 ZOTANO;GALERIA 955 ZOTANO;-
-;MARICIELO AV;CONSTRUCENTER;-
-;MARITZA - AYACUCHO;AYACUCHO;-
-;MARLENY 1069;GALERIA 1069;-
-;MARMOLES;-;-
-;MARPET - SURQUILLO;SURQUILLO;-
-;MARTHA MOPA - HUARAZ;HUARAZ;-
-;MARTIN MARZANO;-;-
-;MARVAL - V.E.S;VILLA EL SALVADOR;-
-;MARY CHAMARU - HUARAZ;HUARAZ;-
-;MARY VILLANUEVA;-;-
-;MAURICIO 597;-;-
-;MAXIME 869;-;-
-;MAYRA 1049;CUADRA 10;-
-;MAYRA 1069;GALERIA 1069;-
-;MAYRA ORTEGA 1053;CUADRA 10;-
-;MAYRA ORTEGA 1055;CUADRA 10;-
-;MECHE JARA - COMAS;COMAS;-
-;MEDALY - ATE;ATE;-
-;MEGA CERAMICA 1039;CUADRA 10;-
-;MELISSA 923A;CUADRA 9;-
-;MENESES;-;-
-;MIGUEL;CONSTRUCENTER;-
-;MIKASA;-;-
-;MILAGROS 995 ZOTANO;GALERIA 955 ZOTANO;-
-;MIRELLA - CARABAYLLO;CARABAYLLO;-
-;MIRIAM 863;CUADRA 8;-
-;MOAL CENTER;-;-
-;MODA CERAMIC;-;-
-;MONTE ALEGRE - HUARAZ;HUARAZ;-
-;MONTERO 975;CUADRA 9;-
-;MOQUEGUA;-;-
-;MORAN;CONSTRUCENTER;-
-;MR. HOME;-;-
-;MUCHIN - CHIMBOTE;CHIMBOTE;-
-;MUESTRAS;CONSTRUCENTER;-
-;MULTI CERAMIC;-;-
-;MUNDO;CONSTRUCENTER;-
-;MYL - CHICLAYO;CHICLAYO;-
-;MYNTECH SAC;-;-
-;NANCY;-;-
-;NATALY;-;-
-;NAUDY;-;-
-;NAYELI 735;CUADRA 7;-
-;NAZARENO 115;STA. MERCEDEZ;-
-;NAZARENO 986;STA. CLORINDA;-
-;NERIDA;-;-
-;NEYRA 105;STA. MERCEDEZ;-
-;NICKY 1049;CUADRA 10;-
