IMAGEN;NOMBRE;COD_PRODUCTO;CATEGORIA;PRECIO;CANTIDAD
-;DALIA CARAMELO;-;PORCELANATOS;S/ 32.99;1000
-;DELUXE CLARO;-;MAYOLICAS;S/ 26.98;1000
-;DENVER VITRIFICADO;-;MAYOLICAS;S/ 34.06;1000
-;DIAMANTE BOMBAY;-;MAYOLICAS;S/ 33.08;1000
-;DIAMANTE CLARO;-;MAYOLICAS;S/ 21.57;1000
-;DIAMANTE GRIS;-;MAYOLICAS;S/ 17.48;1000
-;DIAMANTE OSCURO;-;FACHALETAS;S/ 28.67;1000
-;DIAMENTE BOMBAY;-;PORCELANATOS;S/ 29.18;1000
-;DIAMOND CLARO;-;MAYOLICAS;S/ 24.90;1000
-;DIAMOND GRAFITO;-;MAYOLICAS;S/ 25.37;1000
-;EFG 66002;-;PORCELANATOS;S/ 17.55;1000
-;ELECTRIC BEIGE;-;PORCELANATOS;S/ 28.17;1000
-;EMA OSC;-;FACHALETAS;S/ 42.42;1000
-;ESFERA BLANCO;-;DECORACIONES;S/ 23.90;1000
-;ESPECIES;-;DECORACIONES;S/ 20.76;1000
-;ESTELAR;-;FACHALETAS;S/ 46.80;1000
-;ESTORIL DARK;-;FACHALETAS;S/ 41.66;1000
-;EUCALIPTO;-;PORCELANATOS;S/ 35.31;1000
-;EVO BLACK;-;FACHALETAS;S/ 33.11;1000
-;FARIDA BEIGE;-;PORCELANATOS;S/ 31.98;1000
-;FARIDA WOOD;-;PORCELANATOS;S/ 23.24;1000
-;FERRO BLACK;-;PORCELANATOS;S/ 35.00;1000
-;FIRENSE;-;PORCELANATOS;S/ 34.79;1000
-;FLOR CAFE;-;MAYOLICAS;S/ 26.38;1000
-;FLOR CAFE BANO;-;DECORACIONES;S/ 6.50;1000
-;FORESTA CARAMELO;-;MAYOLICAS;S/ 39.07;1000
-;FORESTA GRAFITO;-;PORCELANATOS;S/ 34.98;1000
-;FRAGIA GRIS;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA BLANCO;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA GRIS;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA HUESO;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA MADERA;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA MARFIL;-;FRAGUAS;S/ 5.00;1000
-;FRAGUA NEGRA;-;FRAGUAS;S/ 5.00;1000
-;FRIDZA 120;-;PORCELANATOS;S/ 45.79;1000
-;GALAXI BLACK 120;-;PORCELANATOS;S/ 48.16;1000
-;GANITO GRAF CHIN 120;-;PORCELANATOS;S/ 70.72;1000
-;GANITO GRAFITO 120;-;PORCELANATOS;S/ 60.00;1000
-;GANITO PLATA 60;-;PORCELANATOS;S/ 75.00;1000
-;GENESIS BLANCO 120;-;PORCELANATOS;S/ 110.96;1000
-;GENESIS MAREON 120;-;PORCELANATOS;S/ 75.78;1000
-;GENESIS NEGRO 120;-;PORCELANATOS;S/ 85.47;1000
-;GLASS BLACK 120;-;PORCELANATOS;S/ 60.14;1000
-;GRANILLA NEGRO 120;-;PORCELANATOS;S/ 66.33;1000
-;GRANITO ARTICO;-;PORCELANATOS;S/ 111.47;1000
-;GRANITO CHINO 120;-;PORCELANATOS;S/ 117.42;1000
-;GRANITO GRAFITO 120;-;PORCELANATOS;S/ 84.51;1000
-;GRANITO GRAFITO 60;-;PORCELANATOS;S/ 78.85;1000
-;GRANITO MARRON 120;-;PORCELANATOS;S/ 132.99;1000
-;GRANITO PLATA 120;-;PORCELANATOS;S/ 66.99;1000
-;GRANITO PLATA 60;-;PORCELANATOS;S/ 80.65;1000
-;GRETA BEIGE;-;MAYOLICAS;S/ 21.96;1000
-;GRIS GRAFITO;-;PORCELANATOS;S/ 36.00;1000
-;GRIS MARMOL;-;PORCELANATOS;S/ 36.00;1000
-;GRIS MATE;-;PORCELANATOS;S/ 39.17;1000
-;GRIS UNICOLOR;-;MAYOLICAS;S/ 26.72;1000
-;HOJAS;-;MAYOLICAS;S/ 8.83;1000
-;HOJAS CALACATA;-;MAYOLICAS;S/ 25.07;1000
-;HOJAS CLARO;-;MAYOLICAS;S/ 20.72;1000
-;HOJAS OSCURO;-;PORCELANATOS;S/ 26.64;1000
-;HUESO;-;PORCELANATOS;S/ 25.04;1000
-;IMPERIAL GOLD;-;PORCELANATOS;S/ 35.43;1000
-;INFINITY GREY;-;INODOROS;S/ 50.62;1000
-;JASPE GREY;-;CERAMICA;S/ 24.55;1000
-;KADUMA BEIGE;-;PORCELANATOS;S/ 37.76;1000
-;LADRILLO BLANCO;-;MAYOLICAS;S/ 30.21;1000
-;LADRILLO CALACATA;-;MAYOLICAS;S/ 23.77;1000
-;LADRILLO TEX CLARO;-;MAYOLICAS;S/ 22.26;1000
-;LADRILLO TEX OSCURO;-;MAYOLICAS;S/ 23.24;1000
-;LAPIZ BOLEADO;-;LAPIZ;S/ 2.50;1000
-;LAPIZ PLANO;-;LAPIZ;S/ 3.07;1000
-;LARA;-;MAYOLICAS;S/ 13.89;1000
-;LARA BAÑO;-;DECORACIONES;S/ 8.77;1000
-;LARA BEIGE;-;DECORACIONES;S/ 21.58;1000
-;LARA GRAFITO;-;DECORACIONES;S/ 19.53;1000
-;LARA MARFIL;-;DECORACIONES;S/ 22.89;1000
-;LARILLO BLANCO;-;PORCELANATOS;S/ 28.58;1000
-;LINEAL AZABACHE;-;FACHALETAS;S/ 26.29;1000
-;LLUVIA;-;DECORACIONES;S/ 8.54;1000
-;LLUVIA BLANCO;-;MAYOLICAS;S/ 24.37;1000
-;LONDON GRIS;-;PORCELANATOS;S/ 28.47;1000
-;LONDON HUMO;-;LOZAS;S/ 31.33;1000
-;LUCERO GRIS;-;MAYOLICAS;S/ 33.02;1000
-;LUCIA CLARO;-;MAYOLICAS;S/ 23.52;1000
-;LUCIANA;-;DECORACIONES;S/ 5.83;1000
-;LUMINA CAMEL;-;PORCELANATOS;S/ 28.60;1000
